symbol,date,time,seq,price,volume,bs_flag,trade_type,function_code,ask_order_seq,bid_order_seq
000001.SZE,2010-01-04,09:23:52.930,39,0.0,0,,0,C,0,0
000001.SZE,2010-01-04,09:24:05.460,40,0.0,200,,X,C,0,0
000001.SZE,2010-01-04,09:24:17.590,41,0.0,0,,0,C,0,0
000001.SZE,2010-01-04,09:24:20.210,42,0.0,0,,0,C,0,0
000001.SZE,2010-01-04,09:24:36.810,43,0.0,0,,0,C,0,0
000001.SZE,2010-01-04,09:25:00.920,44,24.52,500,,0,0,0,0
000001.SZE,2010-01-04,09:25:01.130,45,24.52,200,,0,0,0,0
000001.SZE,2010-01-04,09:25:01.180,46,24.52,100,,0,0,0,0
000001.SZE,2010-01-04,09:25:01.190,47,24.52,100,,0,0,0,0
000002.SZE,2010-01-04,09:24:49.600,295,0.0,0,,0,C,0,0
000002.SZE,2010-01-04,09:24:52.460,296,0.0,0,,0,C,0,0
000002.SZE,2010-01-04,09:24:52.770,297,0.0,0,,0,C,0,0
000002.SZE,2010-01-04,09:24:53.800,298,0.0,0,,0,C,0,0
000002.SZE,2010-01-04,09:24:56.260,299,0.0,0,,0,C,0,0
000002.SZE,2010-01-04,09:24:57.490,300,0.0,0,,0,C,0,0
000002.SZE,2010-01-04,09:24:57.760,301,0.0,0,,0,C,0,0
000002.SZE,2010-01-04,09:24:58.650,302,0.0,0,,0,C,0,0
000002.SZE,2010-01-04,09:25:00.900,303,10.85,500,,0,0,0,0
000002.SZE,2010-01-04,09:25:00.900,304,10.85,500,,0,0,0,0
000002.SZE,2010-01-04,09:25:00.900,305,10.85,800,,0,0,0,0
000002.SZE,2010-01-04,09:25:00.900,306,10.85,200,,0,0,0,0
000002.SZE,2010-01-04,09:25:00.990,307,10.85,200,,0,0,0,0
